checkpoint,f1_t,f1_e,loss_t,loss_e
neuralmind/bert-base-portuguese-cased,0.8158998201051125,0.8392532140148848,0.660471464841188,0.5667790524747179
neuralmind/bert-large-portuguese-cased,0.8135241971545576,0.8358034092487678,0.6890294643478568,0.6025674297720537
