checkpoint,f1_t,f1_e,loss_t,loss_e
neuralmind/bert-base-portuguese-cased,0.8158998201051125,0.8392532140148848,0.660471464841188,0.5667790524747179
neuralmind/bert-large-portuguese-cased,0.8135241971545576,0.8358034092487678,0.6890294643478568,0.6025674297720537
bert-base-cased,0.8113152312390168,0.8395811583637691,0.6884557473358144,0.5820709758534514
bert-base-uncased,0.8106008445589049,0.8386065418515101,0.6878917071972123,0.5704076407027656
bert-large-cased,0.8106251879202588,0.8370572932077314,0.6884654290722997,0.5825028639158298
bert-large-uncased,0.8095146964575551,0.8368206102974688,0.7052898435673626,0.5938833225732563
