checkpoint,f1_t,f1_e,loss_t,loss_e
neuralmind/bert-base-portuguese-cased,0.8141314824068118,0.815738736139888,0.6663144614330595,0.6614542535684081
neuralmind/bert-large-portuguese-cased,0.812498619010651,0.815977544247785,0.6912298107689078,0.6597505442425228
bert-base-cased,0.8112605000384863,0.8136398799417102,0.6807314032218795,0.6683157434319816
bert-large-cased,0.8113362804218305,0.8116811376727591,0.6917538551558513,0.6602622499809323
bert-base-uncased,0.807418046747966,0.8127241101136541,0.6993756038693291,0.6620423011900334
bert-large-uncased,0.8070428290537472,0.8125583684423137,0.7080935852200676,0.6643940511257582
