checkpoint,f1_t,f1_e,loss_t,loss_e
bert-base-cased,0.8112605000384863,0.8136398799417102,0.6807314032218795,0.6683157434319816
bert-large-cased,0.8113362804218305,0.8116811376727591,0.6917538551558513,0.6602622499809323
